Bulan,Hotel Berbintang,Hotel Non Bintang
Januari,51,37,54,07
Februari,54,28,51
Maret,36,93,38,41
April,19,84,27,75
Mei,24,32,24,39
Juni,26,47,25,63
Juli,41,03,28,01
Agustus,36,18,35,23
September,38,96,30,3
Oktober,44,33,31,44
November,45,63,30,28
Desember,45,4,31,24
