,Domestik,Internasional,Total
1,1600594,626097,2226691
2,1551967,444267,1996234
3,1211697,187899,1399596
4,191002,17499,208501
5,27500,9460,36960
6,174352,14619,188971
7,427731,22618,450349
8,574597,28513,603110
9,500591,32043,532634
10,601391,36549,637940
11,828893,42028,870921
12,931481,56330,987811
