,Domestik,Internasional,Total
1,507262,48941,556203
2,482132,30819,512951
3,672107,38210,710317
4,703135,41100,744235
5,598615,42513,641128
6,858770,54120,912890
7,249940,45257,295197
8,321287,42345,363632
