avg_total_national,avg_total_international,avg_total_international_percentage,avg_total_national_percentage
99149.83333333333,1315.5833333333333,39.50107591452735,11.185191034121745
20884.333333333332,301.1666666666667,9.04268628334084,2.3559823562010687
53285.69375,361.5833333333333,10.856728218986138,6.011211960142382
760.4166666666666,45.75,1.3736676174748537,0.08578335834012238
299.6666666666667,2.75,0.08257018465695841,0.033805693872995084
10680.333333333334,449.75,13.503978381624382,1.2048589959784597
329.8333333333333,6.666666666666667,0.2001701446229295,0.037208825458652534
265.25,0.0,0.0,0.029923115572231186
12777.0,331.8333333333333,9.963468948606314,1.4413860420976354
2485.5,58.5,1.7564930190662063,0.28039172009342356
661.4166666666666,42.75,1.2835910523945353,0.07461507015293713
3884.0,219.83333333333334,6.6006105189410995,0.43815789211138895
12317.416666666666,1.0,0.030025521693439427,1.389539990454263
1513.3333333333333,15.0,0.45038282540159136,0.17072063424182163
1856.5,0.0,0.0,0.20943360625767085
1296.0,0.08333333333333333,0.0025021268077866183,0.14620304535951598
2238.5,0.75,0.02251914127007957,0.25252740512135535
380244.3333333333,89.66666666666667,2.6922884451784017,42.89574036576562
103394.75,87.83333333333333,2.6372416554070957,11.664064293353253
178114.33333333334,0.0,0.0,20.09325459530346
