tahun,bulan,destinasi_wisata,jumlah
2020,8,Museum Tekstil,0
2020,8,Museum Sejarah Jakarta,0
2020,8,Museum Satria Mandala,0
2020,8,Museum Nasional,1
2020,8,Monumen Nasional,0
2020,8,Taman Margasatwa Ragunan,0
2020,8,Taman Mini Indonesia Indah,0
2020,8,Rumah si Pitung,0
2020,8,Kawasan Kota Tua,125
2020,9,Rumah si Pitung,0
2020,9,Kawasan Kota Tua,41
2020,9,Taman Impian Jaya Ancol,0
2020,9,Museum Prasasti,0
2020,9,PBB Setu babakan,0
2020,9,Kepulauan Seribu,87
2020,9,Pelabuhan Sunda Kelapa,0
2020,9,Taman Arkeologi Onrust,0
2020,9,Planetarium,0
2020,9,Museum Wayang,4
2020,9,Museum Seni Rupa dan Keramik,2
2020,9,Museum Joang,0
2020,9,Museum Tekstil,0
2020,9,Museum Sejarah Jakarta,2
2020,9,Museum Satria Mandala,0
2020,9,Museum Nasional,0
2020,9,Monumen Nasional,0
2020,9,Taman Margasatwa Ragunan,43
2020,9,Taman Mini Indonesia Indah,0
2020,9,Museum Bahari,2
2020,10,Taman Margasatwa Ragunan,27
2020,10,Monumen Nasional,0
2020,10,Museum Nasional,12
2020,10,Museum Satria Mandala,0
2020,10,Museum Sejarah Jakarta,2
2020,10,Museum Tekstil,0
2020,10,Museum Bahari,3
2020,10,Museum Seni Rupa dan Keramik,1
2020,10,Rumah si Pitung,0
2020,10,Museum Joang,0
2020,10,Taman Arkeologi Onrust,0
2020,10,Pelabuhan Sunda Kelapa,0
2020,10,Kepulauan Seribu,126
2020,10,PBB Setu babakan,0
2020,10,Museum Prasasti,0
2020,10,Planetarium,0
2020,10,Kawasan Kota Tua,139
2020,10,Taman Mini Indonesia Indah,0
2020,10,Museum Wayang,11
2020,10,Taman Impian Jaya Ancol,0
2020,11,Museum Wayang,47
2020,11,Rumah si Pitung,0
2020,11,Kawasan Kota Tua,45
2020,11,Taman Impian Jaya Ancol,0
2020,11,Taman Mini Indonesia Indah,0
2020,11,Taman Margasatwa Ragunan,40
2020,11,Monumen Nasional,0
2020,11,Museum Satria Mandala,0
2020,11,Museum Sejarah Jakarta,0
2020,11,Museum Tekstil,2
2020,11,Museum Nasional,39
2020,11,Museum Seni Rupa dan Keramik,6
2020,11,Museum Joang,0
2020,11,Taman Arkeologi Onrust,4
2020,11,Pelabuhan Sunda Kelapa,4
2020,11,Kepulauan Seribu,138
2020,11,PBB Setu babakan,0
2020,11,Museum Prasasti,0
2020,11,Museum Bahari,17
2020,11,Planetarium,0
2020,12,Taman Arkeologi Onrust,0
2020,12,Pelabuhan Sunda Kelapa,0
2020,12,Kepulauan Seribu,214
2020,12,Rumah si Pitung,0
2020,12,Museum Prasasti,0
2020,12,Planetarium,0
2020,12,Museum Joang,0
2020,12,PBB Setu babakan,0
2020,12,Museum Wayang,0
2020,12,Taman Mini Indonesia Indah,0
2020,12,Museum Bahari,30
2020,12,Museum Tekstil,0
2020,12,Museum Sejarah Jakarta,0
2020,12,Museum Satria Mandala,0
2020,12,Museum Nasional,25
2020,12,Monumen Nasional,0
2020,12,Taman Margasatwa Ragunan,31
2020,12,Taman Impian Jaya Ancol,0
2020,12,Museum Seni Rupa dan Keramik,0
2020,12,Kawasan Kota Tua,0
