Tahun,Kunjungan Wisatawan Mancanegara_mean,Tingkat Penghunian Kamar Hotel Berbintang_mean
2020,36968.166666666664,38.72833333333333
2019,202762.66666666666,60.51499999999999
2016,209333.75,58.29083333333333
2017,221504.58333333334,63.25666666666666
2018,234329.66666666666,66.86833333333334
2021,8219.75,43.341249999999995
