ds,y,label
2020-09-19,240687.0,now
2020-09-20,244676.0,now
2020-09-21,248852.0,now
2020-09-22,252923.0,now
2020-09-23,257388.0,now
2020-09-24,262022.0,now
2020-09-25,266845.0,now
2020-09-26,271339.0,now
2020-09-27,275213.0,now
2020-09-28,278722.0,now
2020-09-29,282724.0,now
2020-09-30,287008.0,now
2020-10-01,291182.0,now
2020-10-02,295499.0,now
2020-10-03,299506.0,now
2020-10-04,303498.0,now
2020-10-05,307120.0,now
2020-10-06,311176.0,now
2020-10-07,315714.0,now
2020-10-08,320564.0,now
2020-10-09,324658.0,now
2020-10-10,328952.0,now
2020-10-11,333449.0,now
2020-10-12,336716.0,now
2020-10-13,340622.0,now
2020-10-14,344749.0,now
2020-10-15,349160.0,now
2020-10-16,353461.0,now
2020-10-17,357762.0,now
2020-10-18,361867.0,now
2020-10-19,365240.0,now
2020-10-20,368842.0,now
2020-10-21,373109.0,now
2020-10-22,377541.0,now
2020-10-23,381910.0,now
2020-10-24,385980.0,now
2020-10-25,389712.0,now
2020-10-26,392934.0,now
2020-10-27,396454.0,now
2020-10-28,400483.0,now
2020-10-29,404048.0,now
2020-10-30,406945.0,now
2020-10-31,410088.0,now
2020-11-01,412784.0,now
2020-11-02,415402.0,now
2020-11-03,418375.0,now
2020-11-04,421731.0,now
2020-11-05,425796.0,now
2020-11-06,429574.0,now
2020-11-07,433836.0,now
2020-11-08,437716.0,now
2020-11-09,440569.0,now
2020-11-10,444348.0,now
2020-11-11,448118.0,now
2020-11-12,452291.0,now
2020-11-13,457735.0,now
2020-11-14,463007.0,now
2020-11-15,467113.0,now
2020-11-16,470648.0,now
2020-11-17,474455.0,now
2020-11-18,478720.0,now
2020-11-19,483518.0,now
2020-11-20,488310.0,now
2020-11-21,493308.0,now
2020-11-22,497668.0,now
2020-11-23,502110.0,now
2020-11-24,506302.0,now
2020-11-25,511836.0,now
2020-11-26,516753.0,now
2020-11-27,522581.0,now
2020-11-28,527999.0,now
2020-11-29,534266.0,now
2020-11-30,538883.0,now
2020-12-01,543975.0,now
2020-12-02,549508.0,now
2020-12-03,557877.0,now
2020-12-04,563680.0,now
2020-12-05,569707.0,now
2020-12-06,575796.0,now
2020-12-07,581550.0,now
2020-12-08,586842.0,now
2020-12-09,592900.0,now
2020-12-10,598933.0,now
2020-12-11,605243.0,now
2020-12-12,611631.0,now
2020-12-13,617820.0,now
2020-12-14,623309.0,now
2020-12-15,629429.0,now
2020-12-16,636154.0,now
2020-12-17,643508.0,now
2020-12-18,650197.0,now
2020-12-19,657948.0,now
2020-12-20,664930.0,now
2020-12-21,671778.0,now
2020-12-22,678125.0,now
2020-12-23,685639.0,now
2020-12-24,692838.0,now
2020-12-25,700097.0,now
2020-12-26,706837.0,now
2020-12-27,713365.0,now
2020-12-28,719219.0,now
2020-12-29,727122.0,now
2020-12-30,735124.0,now
2020-12-31,743198.0,now
2021-01-01,751270.0,now
2021-01-02,758473.0,now
2021-01-03,765350.0,now
2021-01-04,772103.0,now
2021-01-05,779548.0,now
2021-01-06,788402.0,now
2021-01-07,797723.0,now
2021-01-08,808340.0,now
2021-01-09,818386.0,now
2021-01-10,828026.0,now
2021-01-11,836718.0,now
2021-01-12,846765.0,now
2021-01-13,858043.0,now
2021-01-14,869600.0,now
2021-01-15,882418.0,now
2021-01-16,896642.0,now
2021-01-17,907929.0,now
2021-01-18,917015.0,now
2021-01-19,927380.0,now
2021-01-20,939948.0,now
2021-01-21,951651.0,now
2021-01-22,965283.0,now
2021-01-23,977474.0,now
2021-01-24,989262.0,now
2021-01-25,999256.0,now
2021-01-26,1012350.0,now
2021-01-27,1024298.0,now
2021-01-28,1037993.0,now
2021-01-29,1051795.0,now
2021-01-30,1066313.0,now
2021-01-31,1078314.0,now
2021-02-01,1089308.0,now
2021-02-02,1099687.0,now
2021-02-03,1111671.0,now
2021-02-04,1123105.0,now
2021-02-05,1134854.0,now
2021-02-06,1147010.0,now
2021-02-07,1157837.0,now
2021-02-08,1166079.0,now
2021-02-09,1174779.0,now
2021-02-10,1183555.0,now
2021-02-11,1191990.0,now
2021-02-12,1201859.0,now
2021-02-13,1210703.0,now
2021-02-14,1217468.0,now
2021-02-15,1223930.0,now
2021-02-16,1233959.0,now
2021-02-17,1243646.0,now
2021-02-18,1252685.0,now
2021-02-19,1263299.0,now
2021-02-20,1271353.0,now
2021-02-21,1278653.0,now
2021-02-22,1288833.0,now
2021-02-23,1298608.0,now
2021-02-24,1306141.0,now
2021-02-25,1314634.0,now
2021-02-26,1322866.0,now
2021-02-27,1329074.0,now
2021-02-28,1334634.0,now
2021-03-01,1341314.0,now
2021-03-02,1347026.0,now
2021-03-03,1353834.0,now
2021-03-04,1361098.0,now
2021-03-05,1368069.0,now
2021-03-06,1373836.0,now
2021-03-07,1379662.0,now
2021-03-08,1386556.0,now
2021-03-09,1392945.0,now
2021-03-10,1398578.0,now
2021-03-11,1403722.0,now
2021-03-12,1410134.0,now
2021-03-13,1414741.0,now
2021-03-14,1419455.0,now
2021-03-15,1425044.0,now
2021-03-16,1430458.0,now
