name,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,year_avg,latitude,longitude
ACEH,31.36,41.46,40.95,40.13,30.01,42.43,53.18,46.4,50.13,47.71,50.35,41.7,42.98416666666666,4.695135,96.74939930000001
SUMATERA UTARA,42.85,45.31,54.44,49.83,40.45,49.53,48.42,47.88,44.29,47.05,52.1,51.09,47.77,2.1153547,99.5450974
SUMATERA BARAT,46.08,53.11,57.34,56.22,34.57,54.72,59.41,54.69,53.95,59.45,62.27,60.18,54.33249999999999,-0.7399397,100.80000509999999
RIAU,43.73,42.63,49.67,49.6,40.57,45.57,45.28,46.22,47.06,47.45,49.84,51.93,46.62916666666666,0.2933469,101.70682940000002
JAMBI,41.78,40.76,42.66,42.42,38.58,36.51,45.12,46.35,45.2,48.91,49.79,49.51,43.965833333333336,-1.4851831,102.43805809999999
SUMATERA SELATAN,59.45,50.83,50.62,51.7,43.06,54.51,53.86,54.31,41.97,57.06,59.79,58.98,53.01166666666668,-3.3194373999999995,103.914399
BENGKULU,46.2,68.27,64.61,57.53,50.52,58.98,66.96,62.69,65.76,68.97,69.32,67.97,62.315,-3.5778470999999996,102.3463875
LAMPUNG,42.89,54.44,57.24,62.37,49.67,56.11,59.42,60.96,64.24,62.99,67.43,69.51,58.939166666666665,-4.5585849000000005,105.40680790000002
DKI JAKARTA,69.84,63.37,59.56,58.92,54.32,50.51,64.15,58.11,58.97,62.67,64.17,61.59,60.51499999999999,-6.211544,106.84517199999999
JAWA BARAT,45.33,51.57,52.69,53.17,38.79,53.13,54.69,49.58,50.6,56.07,58.95,62.4,52.2475,-7.090911,107.66888700000001
JAWA TENGAH,42.49,44.17,45.32,45.86,35.23,49.14,47.02,45.15,44.99,48.4,52.18,53.29,46.103333333333325,-7.150975,110.1402594
DI YOGYAKARTA,50.19,54.19,56.77,62.75,34.69,64.31,67.86,59.0,51.6,59.92,63.93,72.43,58.13666666666668,-7.8753849,110.4262088
JAWA TIMUR,51.52,52.65,53.47,53.01,40.96,57.73,60.08,54.49,54.18,59.93,64.25,62.77,55.419999999999995,-7.536063900000001,112.2384017
BANTEN,49.92,53.31,42.42,44.25,41.24,45.0,52.58,49.09,49.63,50.03,50.42,51.96,48.320833333333326,-6.4058171999999995,106.0640179
BALI,53.27,56.48,55.43,60.33,51.56,60.37,61.71,67.1,63.22,63.3,59.46,62.55,59.565,-8.409517800000001,115.18891599999999
NUSA TENGGARA BARAT,32.84,32.63,34.11,39.43,33.34,37.34,43.85,52.12,47.85,50.55,45.31,47.79,41.43,-8.6529334,117.3616476
NUSA TENGGARA TIMUR,35.39,45.4,44.88,54.73,49.52,51.4,53.12,58.72,52.26,55.59,52.55,53.75,50.60916666666666,-8.6573819,121.07937050000001
KALIMANTAN BARAT,40.06,46.12,44.05,47.93,39.54,48.52,50.37,47.63,46.28,45.18,52.89,51.14,46.642500000000005,-0.2787808,111.47528510000001
KALIMANTAN TENGAH,50.06,52.32,62.78,56.74,52.24,46.84,57.93,53.96,52.49,61.12,58.44,55.85,55.06416666666667,-1.6814878,113.38235449999999
KALIMANTAN SELATAN,43.87,47.54,54.43,55.01,40.03,45.14,55.22,48.9,50.18,51.26,55.52,52.47,49.96416666666667,-3.0926415,115.28375849999999
KALIMANTAN TIMUR,47.9,49.06,59.05,55.72,49.9,52.98,57.83,56.57,58.03,61.05,64.37,63.9,56.36333333333332,1.6406296000000002,116.419389
SULAWESI UTARA,67.58,64.9,65.81,65.7,53.24,60.48,67.3,67.98,64.55,61.99,53.66,59.49,62.72333333333333,0.6246932,123.97500179999999
SULAWESI TENGAH,35.45,32.76,48.61,48.34,34.48,36.81,47.39,53.07,48.15,53.05,51.13,56.65,45.490833333333335,-1.4300254,121.4456179
SULAWESI SELATAN,44.52,45.68,45.22,47.43,37.69,43.33,54.85,49.6,56.55,53.35,56.01,56.11,49.195000000000014,-3.6687993999999997,119.9740534
SULAWESI TENGGARA,41.73,33.74,40.51,37.54,32.07,32.93,37.76,41.47,36.47,47.58,45.17,53.65,40.05166666666667,-4.144909999999999,122.174605
GORONTALO,52.12,39.72,49.55,52.12,38.96,39.84,44.7,49.54,48.43,48.44,48.79,42.29,46.208333333333336,0.6999371999999999,122.44672379999999
SULAWESI BARAT,41.26,43.63,52.16,46.3,44.92,43.23,49.25,47.11,48.62,48.63,46.74,49.21,46.755,-2.8441370999999998,119.23207839999999
MALUKU,23.07,31.27,32.53,34.15,26.29,30.19,37.79,43.11,45.98,49.38,46.74,44.09,37.04916666666667,-3.2384616000000004,130.1452734
MALUKU UTARA,31.75,51.96,48.62,50.45,41.53,37.57,47.93,50.31,58.27,53.31,61.98,63.22,49.741666666666674,1.5709993,127.8087693
PAPUA BARAT,42.17,47.02,47.91,51.21,49.87,39.51,49.59,49.02,49.54,51.78,65.3,56.68,49.96666666666666,-1.3361154,133.1747162
PAPUA,36.09,40.14,59.08,52.46,45.99,38.73,51.08,49.22,38.13,42.87,60.27,48.33,46.865833333333335,-4.269928,138.0803529
